,Date&Time,LocalPressure[hPa],QualityInfrom,HomogeneousNumber
0,2010/1/1 1:00:00,998.3,8,1
1,2010/1/1 2:00:00,998.6,8,1
2,2010/1/1 3:00:00,998.3,8,1
3,2010/1/1 4:00:00,998.2,8,1
4,2010/1/1 5:00:00,998.5,8,1
5,2010/1/1 6:00:00,999.1,8,1
6,2010/1/1 7:00:00,999.3,8,1
7,2010/1/1 8:00:00,999.6,8,1
8,2010/1/1 9:00:00,999.9,8,1
9,2010/1/1 10:00:00,999.6,8,1
10,2010/1/1 11:00:00,998.8,8,1
11,2010/1/1 12:00:00,998.1,8,1
12,2010/1/1 13:00:00,997.4,8,1
13,2010/1/1 14:00:00,997.1,8,1
14,2010/1/1 15:00:00,997.7,8,1
15,2010/1/1 16:00:00,998.2,8,1
16,2010/1/1 17:00:00,998.5,8,1
17,2010/1/1 18:00:00,999.1,8,1
18,2010/1/1 19:00:00,1000.1,8,1
19,2010/1/1 20:00:00,1000.7,8,1
20,2010/1/1 21:00:00,1000.7,8,1
21,2010/1/1 22:00:00,1001.0,8,1
22,2010/1/1 23:00:00,1001.4,8,1
23,2010/1/2 00:00:00,1001.4,8,1
24,2010/1/2 1:00:00,1001.6,8,1
25,2010/1/2 2:00:00,1002.1,8,1
26,2010/1/2 3:00:00,1002.3,8,1
27,2010/1/2 4:00:00,1002.5,8,1
28,2010/1/2 5:00:00,1002.6,8,1
29,2010/1/2 6:00:00,1003.3,8,1
30,2010/1/2 7:00:00,1004.0,8,1
31,2010/1/2 8:00:00,1004.0,8,1
32,2010/1/2 9:00:00,1004.4,8,1
33,2010/1/2 10:00:00,1004.2,8,1
34,2010/1/2 11:00:00,1003.5,8,1
35,2010/1/2 12:00:00,1003.1,8,1
36,2010/1/2 13:00:00,1002.4,8,1
37,2010/1/2 14:00:00,1002.4,8,1
38,2010/1/2 15:00:00,1002.7,8,1
39,2010/1/2 16:00:00,1003.5,8,1
40,2010/1/2 17:00:00,1004.1,8,1
41,2010/1/2 18:00:00,1004.8,8,1
42,2010/1/2 19:00:00,1005.0,8,1
43,2010/1/2 20:00:00,1005.2,8,1
44,2010/1/2 21:00:00,1004.8,8,1
45,2010/1/2 22:00:00,1004.0,8,1
46,2010/1/2 23:00:00,1003.7,8,1
47,2010/1/3 00:00:00,1002.6,8,1
48,2010/1/3 1:00:00,1002.2,8,1
49,2010/1/3 2:00:00,1001.7,8,1
50,2010/1/3 3:00:00,1001.1,8,1
51,2010/1/3 4:00:00,1000.7,8,1
52,2010/1/3 5:00:00,1001.1,8,1
53,2010/1/3 6:00:00,1001.5,8,1
54,2010/1/3 7:00:00,1001.6,8,1
55,2010/1/3 8:00:00,1002.6,8,1
56,2010/1/3 9:00:00,1003.3,8,1
57,2010/1/3 10:00:00,1003.1,8,1
58,2010/1/3 11:00:00,1002.3,8,1
59,2010/1/3 12:00:00,1001.9,8,1
60,2010/1/3 13:00:00,1001.6,8,1
61,2010/1/3 14:00:00,1002.1,8,1
62,2010/1/3 15:00:00,1002.7,8,1
63,2010/1/3 16:00:00,1003.5,8,1
64,2010/1/3 17:00:00,1004.2,8,1
65,2010/1/3 18:00:00,1005.0,8,1
66,2010/1/3 19:00:00,1005.5,8,1
67,2010/1/3 20:00:00,1005.9,8,1
68,2010/1/3 21:00:00,1006.4,8,1
69,2010/1/3 22:00:00,1007.0,8,1
